nivel;classe;padrao;vb;gdac;gdac_80;gdac_100;auxilio_alimentacao;ativo_80;ativo_100;gdac_50;aposentado_50;vigencia
SUPERIOR;ESPECIAL;V;4999.29;64.26;5140.8;6426.0;1175.0;11315.09;12600.29;3213.0;8212.29;01/04/2026
SUPERIOR;ESPECIAL;IV;4853.68;63.1;5048.0;6310.0;1175.0;11076.68;12338.68;3155.0;8008.68;01/04/2026
SUPERIOR;ESPECIAL;III;4712.31;61.96;4956.8;6196.0;1175.0;10844.11;12083.310000000001;3098.0;7810.31;01/04/2026
SUPERIOR;ESPECIAL;II;4575.06;59.69;4775.2;5969.0;1175.0;10525.26;11719.060000000001;2984.5;7559.56;01/04/2026
SUPERIOR;ESPECIAL;I;4441.81;58.63;4690.4;5863.0;1175.0;10307.21;11479.810000000001;2931.5;7373.31;01/04/2026
SUPERIOR;C;V;4270.97;57.6;4608.0;5760.0;1175.0;10053.970000000001;11205.970000000001;2880.0;7150.97;01/04/2026
SUPERIOR;C;IV;4146.57;56.6;4528.0;5660.0;1175.0;9849.57;10981.57;2830.0;6976.57;01/04/2026
SUPERIOR;C;III;4025.8;55.62;4449.6;5562.0;1175.0;9650.400000000001;10762.8;2781.0;6806.8;01/04/2026
SUPERIOR;C;II;3908.54;54.66;4372.8;5466.0;1175.0;9456.34;10549.54;2733.0;6641.54;01/04/2026
SUPERIOR;C;I;3794.7;52.72;4217.6;5272.0;1175.0;9187.3;10241.7;2636.0;6430.7;01/04/2026
SUPERIOR;B;V;3648.75;51.83;4146.4;5183.0;1175.0;8970.15;10006.75;2591.5;6240.25;01/04/2026
SUPERIOR;B;IV;3542.48;50.96;4076.8;5096.0;1175.0;8794.28;9813.48;2548.0;6090.48;01/04/2026
SUPERIOR;B;III;3439.3;50.12;4009.6;5012.0;1175.0;8623.9;9626.3;2506.0;5945.3;01/04/2026
SUPERIOR;B;II;3339.13;49.28;3942.4;4928.0;1175.0;8456.53;9442.130000000001;2464.0;5803.13;01/04/2026
SUPERIOR;B;I;3241.87;48.47;3877.6;4847.0;1175.0;8294.47;9263.869999999999;2423.5;5665.37;01/04/2026
SUPERIOR;A;V;3117.18;46.83;3746.4;4683.0;1175.0;8038.58;8975.18;2341.5;5458.68;01/04/2026
SUPERIOR;A;IV;3026.39;46.08;3686.4;4608.0;1175.0;7887.79;8809.39;2304.0;5330.389999999999;01/04/2026
SUPERIOR;A;III;2938.24;45.35;3628.0;4535.0;1175.0;7741.24;8648.24;2267.5;5205.74;01/04/2026
SUPERIOR;A;II;2852.66;44.61;3568.8;4461.0;1175.0;7596.46;8488.66;2230.5;5083.16;01/04/2026
SUPERIOR;A;I;2769.57;43.9;3512.0;4390.0;1175.0;7456.57;8334.57;2195.0;4964.57;01/04/2026
